num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.74,2.67,71.71,3.26
2,200,300,200,200,3,0.74,2.67,71.71,3.26
2,200,300,300,200,1,1.1,2.68,72.36,3.29
2,200,300,300,200,2,1.1,2.68,72.36,3.29
2,200,300,300,200,3,1.1,2.68,72.36,3.29
2,200,400,200,200,1,0.98,2.67,72.2,3.29
2,200,400,200,200,2,0.98,2.67,72.2,3.29
2,200,400,200,200,3,0.98,2.67,72.2,3.29
2,200,400,300,200,1,1.46,2.68,72.7,3.31
2,200,400,300,200,2,1.47,2.68,72.2,3.29
2,200,400,300,200,3,1.47,2.68,72.2,3.29
